Unnamed: 0,catid,id,subcatid,value
7918,2,318700,27,"The Administrator assumes responsibility, authority and accountability for overall departments/functions of Providence Rest . The Administrator is responsible for ensuring that each resident receives the necessary nursing, medical and psychosocial services to attain and maintain the highest possible mental and physical functional status. Plans, develops, organizes, implements, evaluates and directs the services, programs and activities of the Home, in accordance with current rules, regulations, codes, standards and guidelines that govern the long term care facility. Makes rounds and reviews correspondence, internal and external reports and other relevant documentation to ensure compliance with applicable federal, state, local regulations (DOH, JCAHO, OSHA, CDC, CMS, etc.). Reports findings to appropriate Department Heads. Develops internal standards/processes to ensure accurate documentation throughout the organization. Ensures documentation represents actual level of resident care resulting in appropriate case mix index and subsequent reimbursement. Ensures members of the interdisciplinary team coordinate the admission and discharge process to provide resident satisfaction and regulatory compliance. Ensures standards of practice, policy and procedure manuals and job descriptions are maintained in each department for each level of personnel. Ensures the recruitment, selection and retention of sufficient staff qualified and competent to deliver quality care with professionalism, compassion and efficiency. Oversees the establishment of number and level of personnel to be employed and their appropriate assignments to insure that resident care is properly provided and effectively supervised on all units. Assumes overall responsibility for the development, implementation and incorporation of job descriptions, performance standards, on:going performance/competency tracking, and employee feedback systems. Evaluates managers at least once a year. Assumes overall responsibility for the development implementation and evaluation of a program for validating staff and managerial competency based on licensure validation, competency testing and clinical privilege delineation. Uses data from various sources (census, acuity, satisfaction surveys, QA finding, etc.) to determine overall staffing requirements for the Home and to develop a master staffing plan. Ensures the coordination of departments/disciplines in the development and implementation of plans, policies and processes for resident care. Meets with managers on a regular basis for the purpose of planning, implementing and evaluating activities. Provides for the development and operation of a QAPI Program to assess, evaluate and continually improve processes.Must have a Masters Degree in Health Care or Business Administration or related field. Must be a licensed Nursing Home Administrator in New York State. Must have at least four years in a supervisory and administrative capacity in a hospital or long term care facility. Must show commitment to excellence and continuing professional development CB"
84140,2,1935069,32,"Survey Taker Positions Available, Get Paid Up To 37 Per Hour
 
Location: United States
Job Title: Survey Taker, Get Paid To Give Your Opinion
 
We are looking for people nationwide that are dependable interested in working from home or anywhere where you have an internet connection.
 
Need to be able to take surveys daily. Get paid to share your opinions.
 
500 : 1000 per week (or more) earning potential.
 
You work on your own schedule right from your computer. Get started right away

 Associated topics: home based employee, home based position, home worker, home virtual work, remote contracting, telecommute employee, telecommute employment, work at home, work at home contractor, work from home work"
88052,2,1938981,26,"Company Truck Drivers (Regional Dry Van)
WhatA?s your why?
 
Choose the Right Path,
Your Path
YouA?re connected to other drivers by a common calling for the road. Beyond that, your hopes and dreams are uniquely your own. At Knight, we work as a family, but we know that families are made of individual people and individual motivations. ThatA?s why we offer more choices to drivers than any carrier in America. For you. And your own path.
Company Truck Drivers (Regional Dry Van)
Pay Choices
Hometime Choices
Bonus Choices
Riders and Pets Welcome, Too
General Qualifications
A? 21 years of age or above
A? Minimum 3 months current OTR experience
A? DOT physical and functional capacity testing
About Knight Transportation
Knight Regional Dry Van positions offer Professional Class A CDL Truck Drivers full and part:time positions with hometime options ranging from express lanes to home weekly. Truck drivers enjoy a choice of daily or weekly pay along with a pet and rider policy. Knight drivers can qualify for a .01 raise per mile at 6 and 12 months, as well as earn a .05 per mile quarterly bonus. Knight offers 27 Service Centers for truck drivers to call home while on the road, along with fuel efficient modern equipment. Lease purchase after just 90 days as a company driver. Complete benefits package with 401(k). With all of these great choices and earnings potential, itA?s never been a better time to DriveKnight"
93411,2,1944340,31,"Summary
The Restaurant General Manager (RGM) has overall responsibility for managing daily operations of a single restaurant (10:45 employees) ensuring delivery on guest satisfaction, and ensuring desired restaurant outcomes (i.e., increased sales, profitability, and employee retention). The RGM leads the restaurant management team and oversees the financial controls, operations, people development, Guest service and BKC compliance within the restaurant across all shifts. An RGM should be able to work long and/or irregular shifts, including extra shifts, as needed, for proper functioning of the restaurant. This position is overseen by a District Manager (DM) and directly manages Team Members, Shift Coordinators and Assistant 
Managers. This position interacts with restaurant team members, restaurant management, DMs, customers, members of the field operations team and outside vendors.

Responsibilities
Directs efficient and accurate preparation and sale of products to maximize guest satisfaction
Ensures preventive maintenance of restaurant facility and equipment is completed in accordance with Company standards
Motivates and directs team members to exceed customer expectations with fast and friendly service in clean surroundings.
Provides coaching and feedback to Team Members, Shift Coordinators and Assistant Managers Assumes full responsibility for restaurant profit and loss management by implementing marketing strategies and following cash control/security procedures
Maintains inventory, manages labor, and applies financial reporting analysis to enhance restaurant results
Enforces compliance with government regulations, BKC Market Policy, employment laws, food safety, BKC Security
Policy, operations, and BKC policies and procedures relating to all restaurant activities across shifts.
Leads restaurant management team in recruiting, selecting, hiring and retaining effective team talent
Available to work evenings, weekends and holidays
Prompt and regular attendance for assigned shifts, meetings and training

Minimum Qualifications:
Must be at least eighteen (18) years of age*
High School Diploma or GED required, 2 years of college preferred
Complete all internal certification programs
1:2 years of restaurant management experience
Strong understanding of P and L interpretation and management to influence profitability
Ability to prioritize and organize own and others work and time to meet deadlines and objectives
English Language Preferred
Willingness to Travel Preferred

*Age may vary depending on state.
Note that the responsibilities and qualifications listed above are for positions at restaurants owned or operated by Burger King Corporation. Job descriptions, compensation, benefits and other employment terms and conditions applicable to positions at independent franchised BURGER KING(R) Restaurants will vary and are determined solely by the Franchisee."
1486,2,59991,27,"Bilingual (Spanish / English) candidates are encouraged 

Requisition 
31361



Job Class 13;


CLINICAL SUPPORT 13;
 13;



FLSA 13;


Non:Exempt 13;
 13;



Job Summary 13;


Performs assigned patient care and related administrative duties under the direct supervision of the physician(s). Performs a variety of office/clerical duties as assigned by the office manager. Specific patient care responsibilities will be assigned by the supervising physician after competency is established. 
 13;



Supervisory/Management Responsibilities 13;


This is a non:management job that will report to a supervisor, manager, director or executive. 13;
 13;



Minimum Education 13;


Certification Program: Accredited Medical Assistant Program
 13;



Minimum Experience 13;


No previous experience 
 13;



Required Certifications/Registrations/Licenses 13;


JOB RELATED CERTIFICATION : COTR 13;
 13;



Specific Acceptable Credentials (if applicable) 13;


Certified Medical Assistant (CMA) from the American Assoc of Medical Assistants
OR

Registered Medical Assistant (RMA) from the American Medical Technologists (Lawson Code NCMA) 
 13;



In lieu of the Above Minimum Requirements 13;


Five + years of experience as a Medical Assistant performing a variety of clinical duties will be considered in substitution for the Accredited Medical Assistant Program. 
 13;



Other Required Experience 13;


1 Year of Experience: Preferred

BLS Certification: Required

IV Therapy Certification: Preferred

Electronic Medical Record Experience: Preferred
 
 13;



Position Posting Category 13;


Physician Practice Support
 13;"
2165,2,62730,27,"Description
Standard
Qualifications:
West Florida Healthcare is proud to offer all private rooms to our patients. Our facility is the areas only Atrial Fibrillation Certified hospital and was the areas first Accredited Chest Pain Center with PCI and Breast Imaging Center of Excellence. We are also an Advanced Primary Stroke Center. The West Florida Healthcare campus includes the all private room acute care hospital, a mental health facility, and the areas only CARF:accredited, comprehensive physical rehabilitation hospital.

The RN provides direct nursing care in accordance with established policies, procedures and protocols of the healthcare organization. The tasks and responsibilities include:
Assesses plans and evaluates patient care needs.
Carries out physician orders.
Administers prescribed medications, changes dressings, cleans wounds, monitors vital signs.
Serves as the primary coordinator of all disciplines for well coordinated patient care.
Monitors, records and communicates patient condition as appropriate utilizing computerized documentation systems.
Instructs and educates patients and families."
28012,2,1139082,27,"Job Description:

Description The Education Specialist assesses, develops, implements, and leads educational activities designed to grow, maintain, and improve the professional competence of Team Members; creates and oversees assigned clinical programs by completing needs assessments; employs evidence:based practice in educational methodologies and clinical practice; assists in clinical orientation of new Team Members; provides ongoing consultation on educational requirements and existing resources to direct care Team Members; actively participates in the quality improvement process; acts as a positive agent of change and communication; guides other disciplines in applying principles of evidence:based care to their educational needs. Performs appropriate RN functions and other duties when assigned. Current BLS from an approved provider is required. Follows the Association for Nursing Professional Development (ANPD) Scope and Standards of Practice. Pursues professional organizational certification. Preferred Certification and Licensure includes BTLS (Basic Trauma Life Support) and PHTLS (Pre:Hospital Trauma Life Support). Qualifications Certifications and Licensures Required BLS (Basic Life Support) Certification Required RN (Registered Nurse) State of Florida Preferred BLS (Basic Life Support) Instructor Preferred ACLS (Cardiovascular) Certification Preferred PALS (Pediatric) Certification Preferred NRP (Neonatal) Certification Preferred Reference summary for details Certification Preferred Reference summary for details Certification Education Required Bachelors Nursing Preferred Masters Nursing Experience Required 3 years Clinical Related Specific Skills Required Interpersonal skills Required Work independently Required Work with a team Required Delegation skills Required Customer service skills Required Written and verbal communication skills Required Critical thinking skills Required Organizational skills Required Administrative and clerical skills Required Computer skills appropriate to position Required Knowledge of regulatory standards appropriate to position Required Management skills Required Medical terminology use and understanding"
50518,2,1791330,34,"Founded in 1908, CIT (NYSE: CIT) is a financial holding company with more than 65 billion in assets. Its principal bank subsidiary, CIT Bank, N.A., (Member FDIC, Equal Housing Lender) has more than 30 billion of deposits and more than 40 billion of assets. It provides financing, leasing and advisory services principally to middle market companies across a wide variety of industries primarily in North America, and equipment financing and leasing solutions to the transportation sector. It also offers products and services to consumers through its Internet bank franchise and a network of retail branches in Southern California, operating as OneWest Bank, a division of CIT Bank, N.A. The primary responsibilities of the position are to support the upgrade of the PeopleSoft general ledger platform and functional support and administration of PeopleSoft Gl/AP/AM and PO modules. The individual will work closely with the global accounting operations team, IT technical staff and our system integrator. The successful candidate will have the ability to analyze, design, and present accounting, business and operational processes in relation to PeopleSoft platform Core responsibilities include: Assist with the design of the general ledger including fit gap analysis.Review of RICEW (Reports, Interfaces, Conversions, Extension and Workflow) requirements.Configuration and testing of new PeopleSoft 9.2 GL/AP/AM/POCreating test scripts for a PeopleSoft application.Performing testing for a PeopleSoft module.Resolving issues within PeopleSoft application (out of the box functionality or customizations)Functional user support of PeopleSoft application including special projects or system enhancements.The successful candidate must possess a minimum of 5 years of financial services experience preferably in an accounting, finance or related information technology role. A Bachelors degree in Finance, Accounting or systems related field is strongly preferred. Previous experience in upgrading PeopleSoft general ledger is a must. Required Skills include: Ability to communicate complex processes, problems, and solutions in a simple, compelling an accurate mannerStrong problem solving and analytical skillsDetail oriented and excellent organizational skillsExcellent verbal and written communication skills and the ability to interact professionally with a diverse group, executives, managers, and subject matter experts.Strong financial systems skillsUnderstanding of Peoplesoft Gl/AP/AM modules (e.g. understanding the journal data flow at a table level and the ability to use queries to access this data).Understanding and developing business processes for GL accounting.Ability/Experience managing an existing group of PeopleSoft analysts to provide support for issue resolution, small project work and business process improvements.Ability/Experience inter acting with accountants and accounting managers to resolve business process issues and process improvements related to the General ledger."
22691,2,935811,34,"Req ID:
11285



At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company's growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Servicesand for the people who work here.



NTT DATAServices currently seeks a
Business Analystto join our team in 
Hunt Valley, 
Maryland (US:MD), 
United States (US).





Provide Business Analsysis, Documentation, and Facilition of BI assessment activities.

Basic Qualifications:

3 years Business Analyst:iPMO:Agile Business Analysis:Digital



This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp:2:corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.

 

About NTT DATA Services



NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.



NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 100,000+ professionals in more than 50 countries, and NTT Group, a partner to 85 percent of the Fortune 100. Visit nttdataservices to learn more.



NTT DATA, Inc. (the ""Company"") is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result."
52840,2,1793652,32,"Location:
Sheetz Stores 

00465 : 

6767 RIDGE ROAD PARMA, OH



If you are a current employee, click here 






Job Description

Starting Rate of Pay: 9.50
Full or Part Time: Full Time
Shift Needed: Days/Evenings

Primary purpose of the Salesperson position:

The Salesperson is responsible for directly interacting with customers for the purpose of providing fast, friendly service.

Job responsibilities of this position include but are not limited to:
:Prepare quality food products
:Ring accurate register transactions
:Ensure a clean location is provided
:Provide fast and friendly service
:Strictly adhere to all Sheetz programs, policies and proceduresThe perfect fit for our Sheetz team would be someone who is people oriented, self:motivated, dependable, able to work effectively in a fast:paced environment while maintaining 100 total customer focus.



Requirements

Experience:
:Experience in food service or retail environment helpfulSkills include but are not limited to:
:Strong commitment to teamwork
:Strong communication skills, including the ability to professionally communicate verbally to customers
:A commitment to Sheetz Corporate Mission, Vision and Total Customer Focus
:Ethical, honest, trustworthy, respectful, compassionate, supportive and patient
:Flexible and adaptable to change
:Ability to handle difficult situations professionally
Job Preview Video"
