review,sentiment
"Delightful film directed by some of the best directors in the industry today. The film is also casting some of the great actors of our time, not just from France but from everywhere.<br /><br />My favorite segments:<br /><br />14th arrondissement: Carol (Margo Martindale), from Denver, comes to Paris to learn French and also to make a sense of her life.<br /><br />Montmartre: there was probably not a better way to start this movie than with this segment on romantic Paris.<br /><br />Loin du 16ème: an image of Paris that we are better aware of since the riots in the Cités. Ana (Catalina Sandino Moreno) spends more time taking care of somebody else's kid (she's a nanny) than of her own.<br /><br />Quartier Latin: so much fun to see Gérard Depardieu as the ""tenancier de bar"" with Gena Rowlands and Ben Gazzara discussing their divorce.<br /><br />Tour Eiffel: don't tell me you didn't like those mimes!<br /><br />Tuileries: such a treat to see Steve Buscemi as the tourist who's making high-contact (a no- no) with a girl in the Metro.<br /><br />Parc Monceau: Nick Nolte is great. Ludivine Sagnier also.<br /><br />I've spend 3 days in Paris in 2004 and this movie makes me want to go back!<br /><br />Seen in Barcelona (another great city), at the Verdi, on March 18th, 2007.<br /><br />84/100 (***)",positive
I rented this movie from blockbuster on a whim .. i like alan arkin and the cover was catching ... i read the back and knew right away it was going to either be the best or the worst movie i have ever seen ... i guess i got lucky .. i laughed from beginning to end .. alan arkin brings a great character to this movie. i have since bought a used rental copy for my own collection and watch it all the time .. i have recommeded this movie to loads of people and they all enjoyed it as much as i did ... i see complaints about the menus and dvd functions .. but it doesn't take away from the movie .. the disk was authored for Blockbuster exculsivley which is why they didn't allow you to skip past the previews .. aside from that you shouldn't let the functions of the DVD to deterr you from watching the excellent film.,positive
"I saw this movie with my dad. I must have been pretty young, around 15. It was on Star Movies one afternoon.The movie started a bit vaguely, but you could tell those robbers were gathering up for a score. It really caught pace after the first half hour.<br /><br />All the actors are great, especially Blades and Lou Diamond. I Guess it's the ensemble, they just play so well together. I can watch this film anytime.I think it is the relative stupidity of the plot and the characters trying to deal with a very weird score. The jokes are not corny but they are subtle and extreme at the same time that make them so hilarious.<br /><br />A perfect comedy for a lazy afternoon.",positive
"I could not take my eyes off this movie when it showed up on cable. The dialogue and costumes are of a quality most readily associated with soft-core porn. In this case the expedient plot serves as a vehicle not for sex but for serial thrashings with nunchuks. (Perhaps for sex as well, but not on Indian TV, anyway.)<br /><br />Not being a fan of the genre I couldn't place Jeff Wincott, and had no leads to search from. Only once Brigitte Nielsen traded in her futuristic-nurse coif (so mayoral!) for the high-top fade we remember from Beverly Hills Cop II did I make the positive ID on her.<br /><br />This movie will no doubt entertain any admirer of early 90's couture or nod-and-wink schlock à la Paul Verhoeven. Can we add a genre tag for ""so-bad-it's-good""?",positive
"Dana Andrews stands ""Where the Sidewalk Ends"" in this 1950 film that also stars Gene Tierney, Gary Merrill, Karl Malden and Neville Brand. Andrews plays New York City Detective Sgt. Mark Dixon, a cop with a bad temper who has gotten into trouble in the past for beating suspects. When a man is murdered at a gambling club owned by a mobster, Scalise (Merrill), Dixon and his partner go to investigate. Scalise blames the murder on Ken Paine (Stevens), who has now left the club after fighting not only with his wife, Morgan (Tierney) but the victim. Dixon thinks the victim won a lot of money and was killed as a result by the mobster's men. He goes to see Paine and, not realizing he has a plate in his head from the war, knocks him to the floor and inadvertently kills him. Now he must cover up the murder. As a further complication, he falls for Morgan; her father (Ken Tully), who went to Paine's apartment after he saw that Paine had hit his daughter, is arrested for the crime.<br /><br />This is a really terrific, gritty noir with some good performances. The ruggedly handsome and weathered Andrews is convincing as a tough yet nervous detective who has to stay one step ahead of his colleagues. The movie reunites him with his fabulous ""Laura"" costar, Gene Tierney, and she looks lovely as a model with bad taste in men who apparently is used to being roughed up. Little does she know, she's got another one on her hands. Ken Tully does a terrific job as her father, who protests his innocence despite some damning evidence. Karl Malden is very tough as Dixon's boss.<br /><br />My only problem with this well-directed, fast-moving and absorbing film is the ending. Pure Hollywood and, putting myself in Tierney's place, I doubt I would react the same way. A minor criticism for a film written by Ben Hecht and directed by Otto Preminger. I didn't find it as awe-inspiring as ""Laura,"" but few things in this world are. If you like film noir, this is a must-see.",positive
"This movie is one of the most Underrated movie of its time. When watching this movie , your filled with action, and when somethings not really happing , the humour is un matched. Brilliant writing for a movie that was made to give us a bloody mix , of a game show where criminals are the contestants, and a near future where the general public all have a thirst for blood.Also Arnold Doesn't let us down with some of his best one liners.I don't want to spoil anything for you ,but i will tell you when Arnold gives his ""I'll be back line"" He gets the best response of them all in this movie. Hope you enjoy this gem as much as i did.",positive
"Brian De Palma's undeniable virtuosity can't really camouflage the fact that his plot here is a thinly disguised ""Psycho"" carbon copy, but he does provide a genuinely terrifying climax. His ""Blow Out"", made the next year, was an improvement.",positive
"Having read the reviews for this film, I understandably started watching it with a great deal of doubt in my mind that it would actually be any good. However, this is one of the best films i have seen in a long time. The majority of reviews that i had read, said that the complicated plot made it too hard to follow. And whilst some parts do leave you confused, the ending ties up so many loose ends that you feel like kicking yourself because you've missed so much. It's not like ""Lock, Stock..."" or ""Snatch"", in the sense that it isn't that funny (in fact, it's pretty dark), and it is a lot more intelligent, in the way that you see parts of scenes from different viewpoints (and, in one of the best scenes of the film, Jason Statham spends five minutes in a lift having an argument with himself). The way in which it is similar to the two films i just mentioned, is that it is full of memorable characters, specifically Statham, who gives a fantastic performance as the lead, and Ray Liotta, who spends most of the film in Speedos, but gives a great performance none the less. If you've got time, and have time afterwards to think about the film, and even watch it again, you really start to see all the symbolism and hints that are laid out through the film. I think it's fantastic, and that Guy Ritchie is a director on top of his game.",positive
"It's a gentle, easy-going 1950s comedy. Kim Novak belongs to a coven of witches in Manhattan. She puts a spell on neighbor Jimmy Stewart out of boredom but eventually falls in love with him, losing her powers. See, witches are permitted to have ""hot blood"" but not love. Elsa Lanchester is Novak's aunt, also a witch. Jack Lemmon is her brother, ditto. Hermione Gingold is the chief witch, and Ernie Kovacks is Sidney Redlich, an author who specializes in writing about witches.<br /><br />I described it as a 1950s comedy because it could hardly be mistaken for anything else. Everything is so smooth and polished, from the set decoration, through wardrobe and plot, to the performances and direction. Take the character of Ernie Kovacks. He's referred to as ""a drunk and a nut."" And here's how the movie demonstrates these traits. He asks for a second drink, and, though he always wears a jacket and tie like the other gentlemen, his hair is a bit long and tousled. That's a strictly 1950s version of a drunk and a nut. Nothing is out of place; everything is tidy and free of dust. The soles of Jimmy Stewart's shoes are barely scuffed.<br /><br />And the Zodiac Club, where the witches hang out. It's called ""a low dive."" Yet it's a clean, dark place with polite waiters, a quintet of musicians, neatly dressed clientèle, and potted plants against bare brick walls. That is not my idea or yours of a ""low dive"" -- not even for Greenwich Village in 1958. My idea of a dive in Greenwich Village is Julius's or The White Horse Tavern or The San Remo or The Swing Rendezvous, a now defunct lesbian hangout. The Zodiac Club is a high dive compared to these.<br /><br />The kookiness we always hear about is muted by today's standards. I mean, Kim Novak is odd because she runs around her apartment in her bare feet. And she wears a lot of black clothes like the Beatniks of the period did.<br /><br />But never mind all that. It's an enjoyable romantic comedy. Kim Novak is effective as Gillian, who runs a primitive art shop for the uptrodden. She has a strange beauty, bulky and ethereal at the same time. She glides rather than walks, a wispy presence. Her eyebrows seem drawn with a set of plastic French curves. And Jimmy Stewart is quite good as the bewildered and bewitched victim. In the 1930s he usually played in light roles. In the postwar years and for much of the 1950s he was the tortured protagonist, but here he puts his early experience in comedy to good use. Who could resist laughing when Hermione Gingold forces him to wear a shawl and drink a hideous concoction of putrid fluid in order to cure him of Novak's spell? It's good to see him as a stooge instead of the angry and indignant man of principle he was in danger of becoming. Richard Quine directs the movie quietly, without fireworks or special effects, and does some interesting things that the play couldn't have had. Note the scene in which Novak casts the spell over Stewart, when the Siamese cat's face and ears seem to merge with Novak's startling eyes.<br /><br />Ernie Kovacks in the 1950s was a well-known television personality. There was never anything quite like The Ernie Kovacks Show before -- or after. It brings the word ""surrealism"" to mind. He could stage five minutes worth of wordless and indescribable tricks in an unpopulated room with only Bartok's Concerto for Orchestra as background. And he did an unimpeachable sketch using the character of Percy Dovetail, an effete poet. The credits kind of skip over The Condoli Brothers but that's rather casual because these two guys -- Pete and Conte -- were virtuoso trumpeters with independent careers in jazz ensembles. Conte was later a member of Doc Severison's band on Johnny Carson's Late Show.<br /><br />The third act kind of bogs down a little and becomes more ""romantic"" than ""comedy"". But it's never dull. The whole film rolls along as neatly as Van Druten's play and the kids will probably get a kick out of it too.",positive
"It's amazing that from a good, though not wonderful, film made back in the early Nineties, a whole franchise can grow. 'Stargate; SG1' is, without a doubt, a worthy addition to the science fiction genre and has the right to stand shoulder-to-shoulder with 'Star Trek' as the kings of sci-fi.<br /><br />Following on from the 1994 feature film 'Stargate', this series sees Stargate command (a military/science organisation) figuring out that the stargate system can be used to travel to various planets across the galaxy and beyond and the military sets up a number of teams to explore. SG1 is one such team, headed by military veteran Colonel Jack O'Neill, and includes archaeologist Doctor Daniel Jackson, military scientist Captain Samantha Carter and alien Teal'c, who has betrayed his overlord leaders in the hopes of one day freeing his people. Earth quickly makes an enemy of the Goa'uld, a parasitic race who use humans as hosts and think themselves equal to gods.<br /><br />The top-notch cast have much to be congratulated for in bringing this show to life. Richard Dean Anderson is perfect as the cynical and sarcastic O'Neill, who can shift from boyish to deadly in the blink of an eye. Michael Shanks, as Daniel, brings heart and an will of steel to the character, who has grown from wide-eyed innocence to darker and more hard-bitten as the show has progressed. Amanda Tapping, as Carter, has perfected the balance between depicting her character's femininity without comprising the fact she is a strong, intelligent military scientist. Christopher Judge is excellent as the aloof Teal'c, who is able to depict the character's emotions with subtlety. And Don S Davis is perfect as the esteemed General Hammond who leads with a good balance of fairness and firmness.<br /><br />Almost all the episodes are are involving and portrayed with intelligence, reflecting on moral dilemmas as well as the friction between military interests and civilian beliefs (often shown through arguments between O'Neill and Jackson). Guest characters are solidly depicted and story arcs are handled in a manner that doesn't bore viewers. SG1 also excels in humour, from O'Neill's wisecracks to episodes that are just wacky and odd! SG1 has everything from action to drama to romance to suspense to the heartbreaking scenes of death. It isn't just an excellent sci-fi show but is an excellent show, overall.",positive
